NEIGHBOUR	CENTROID	MORPH	G.BASE	S.BASE	AFFIX	RANK	COS
NC:commanditaire	o	affixed	n	action	aire	38	0.6626674869883614
NC:faussaire	o	affixed	n	object	aire	43	0.6561443711227344
NC:incendiaire	o	affixed	n	action	aire	100	0.6208462105599424
NC:tortionnaire	o	affixed	n	action	aire	5	0.7550576091840909
NC:confrère	o	affixed	n	object	co	56	0.6441665883531759
NC:agresseur	o	affixed	v	action	eur	6	0.7463516134151453
NC:blasphémateur	o	affixed	v	action	eur	80	0.630034656688166
NC:calomniateur	o	affixed	v	action	eur	75	0.6320837391413965
NC:cambrioleur	o	affixed	v	action	eur	90	0.6264619502400877
NC:comploteur	o	affixed	v	action	eur	16	0.6990374805351989
NC:conspirateur	o	affixed	v	action	eur	21	0.6899144785115962
NC:délateur	o	affixed	v	action	eur	13	0.7147054819258075
NC:dénonciateur	o	affixed	v	action	eur	32	0.6726252156960421
NC:dompteur	o	affixed	v	action	eur	52	0.6489988238456352
NC:farceur	o	affixed	n	action	eur	99	0.6216957433748975
NC:fraudeur	o	affixed	v	action	eur	37	0.6643413990657556
NC:gêneur	o	affixed	v	action	eur	79	0.6308487075663932
NC:harceleur	o	affixed	v	action	eur	63	0.6366447435021602
NC:imposteur	o	affixed	v	action	eur	7	0.7459215178715213
NC:informateur	o	affixed	v	action	eur	84	0.6280426986314656
NC:kidnappeur	o	affixed	v	action	eur	44	0.65567052500516
NC:oppresseur	o	affixed	v	action	eur	54	0.6467009230449884
NC:persécuteur	o	affixed	v	action	eur	22	0.6856504687473957
NC:ravisseur	o	affixed	v	action	eur	12	0.7233884084344314
NC:receleur	o	affixed	v	action	eur	88	0.6267576116325075
NC:sauveur	o	affixed	v	action	eur	69	0.6348655462770358
NC:serviteur	o	affixed	v	action	eur	11	0.7303915183202543
NC:souteneur	o	affixed	v	action	eur	25	0.6773379089881657
NC:tourmenteur	o	affixed	v	action	eur	85	0.6280237095127783
NC:violeur	o	affixed	v	action	eur	39	0.6624430337864001
NC:voleur	o	affixed	v	action	eur	19	0.6906327706055473
NC:magicien	o	affixed	n	domain	ien	30	0.6738573834307455
NC:braconnier	o	affixed	v	action	ier	72	0.632834720043852
NC:geôlier	o	affixed	n	object	ier	3	0.778648303695468
NC:meurtrier	o	affixed	n	action	ier	2	0.7934676589885143
NC:sorcier	o	affixed	n	action	ier	27	0.6764037776793431
NC:usurier	o	affixed	n	domain	ier	95	0.6229950106048211
NC:interlocuteur	o	affixed	n	object	inter	77	0.6314573607236665
NC:sous-fifre	o	affixed	n	object	sous	28	0.6751738689708058
NC:compagnon	o	complex	na	na	na	26	0.6768281134299082
NC:comparse	o	complex	na	na	na	24	0.6781548976707077
NC:gangster	o	complex	na	na	na	59	0.6414476056329033
NC:ivrogne	o	complex	na	na	na	58	0.6422089467514018
NC:malfrat	o	complex	na	na	na	36	0.6670214042543314
NC:protagoniste	o	complex	na	na	na	53	0.6485098810172092
NC:vaurien	o	compound	na	na	na	93	0.6244726935725602
NC:amant	o	conversion	v	action	na	15	0.7084801859691277
NC:coupable	o	conversion	a	property	na	34	0.6698756583106046
NC:criminel	o	conversion	a	property	na	18	0.6907133831582034
NC:débauché	o	conversion	a	property	na	29	0.6738738442808262
NC:domestique	o	conversion	a	property	na	46	0.6547727796765004
NC:envieux	o	conversion	a	property	na	41	0.6604712638777062
NC:éveillé	o	conversion	v	action	na	68	0.6350476300843605
NC:fanatique	o	conversion	a	property	na	57	0.6436064797474236
NC:fiancé	o	conversion	v	action	na	74	0.6322628519515403
NC:fugitif	o	conversion	a	property	na	96	0.6226918100215326
NC:ignorant	o	conversion	a	property	na	64	0.6365584445041813
NC:immortel	o	conversion	a	property	na	60	0.6397430044318395
NC:repenti	o	conversion	v	action	na	98	0.6223419809038496
NC:sadique	o	conversion	a	property	na	23	0.6811917397911534
NC:soupirant	o	conversion	v	action	na	66	0.635757264025146
NC:acolyte	o	simple	na	na	na	14	0.70926175307809
NC:bandit	o	simple	na	na	na	40	0.6608037023409065
NC:bourreau	o	simple	na	na	na	4	0.7600370953453289
NC:cannibale	o	simple	na	na	na	92	0.625517338062845
NC:charlatan	o	simple	na	na	na	20	0.6899625108736152
NC:démon	o	simple	na	na	na	67	0.6356427976965096
NC:fantôme	o	simple	na	na	na	51	0.649676106838041
NC:héros	o	simple	na	na	na	10	0.7407061182484223
NC:larbin	o	simple	na	na	na	61	0.6392985685263902
NC:majordome	o	simple	na	na	na	94	0.6230526523086717
NC:nabot	o	simple	na	na	na	87	0.6268900749716246
NC:proxénète	o	simple	na	na	na	31	0.6738351577393308
NC:sbire	o	simple	na	na	na	17	0.6989980745281332
NC:séide	o	simple	na	na	na	73	0.6328051228614597
NC:sosie	o	simple	na	na	na	55	0.6445736417738817
NC:suppôt	o	simple	na	na	na	78	0.6314514010875042
NC:traitre	o	simple	na	na	na	33	0.6699627025772829
NC:traître	o	simple	na	na	na	9	0.7415246777728569
NC:vampire	o	simple	na	na	na	81	0.6297155111630124
NC:assassin	o	undet	na	na	na	1	0.8054145717941807
NC:complice	o	undet	na	na	na	8	0.7416716343905679
NC:ennemi	o	undet	na	na	na	48	0.652534119387641
NC:escroc	o	undet	na	na	na	47	0.6526396177890745
NC:félon	o	undet	na	na	na	45	0.6552542786463645
NC:idolâtre	o	undet	na	na	na	97	0.6225621522482134
NC:méchant	o	undet	na	na	na	49	0.6522300356526154
NC:scélérat	o	undet	na	na	na	82	0.6289178318848447
NC:truand	o	undet	na	na	na	50	0.6504911414283839
NC:voyou	o	undet	na	na	na	91	0.6263125809609077
